brand,name,old_price,new_price,store
LG,LG LFC22770ST 21.8 cu. ft. French Door Bottom-Freezer Refrigerator - Stainless Steel,,2099.99,Sears
GE Appliances,GE Appliances GDE21ESKSS 20.9 cu. ft. Bottom Freezer Refrigerator - Stainless Steel,,1799.99,Sears
LG,LG LRMVC2306D  22.5 cu. ft. Counter Depth 4-Door InstaView&#8482; Door-in-Door&#174; Refrigerator w/ Craft Ice&#8482; &#8211; PrintProof&#8482; Black Stainless,3899.99,3099.99,Sears
Frigidaire,Frigidaire FFTR2045VD  20.0 cu. ft. Top Freezer Refrigerator &#8211; Black Stainless Steel,1149.99,699.99,Sears
NewAir,"NewAir Shadow-Tᵀᴹ Series Wine Cooler Refrigerator, 8 Bottle Countertop Mirrored Compact Wine Cellar with Triple-Layer Tempered ",,229.99,Newair
NewAir,"NewAir 60 Can Beverage Fridge with Glass Door, Small Freestanding Mini Fridge",277.78,199.99,Newair
Kenmore,Kenmore 62315  18.2 cu. ft. Top Freezer Refrigerator &#8211; Stainless Steel w/Fingerprint Resistance,1249.99,999.99,Sears
Frigidaire,"Frigidaire FFHT1425VV  13.9 cu. ft. Top Freezer Refrigerator with EvenTemp&#8482;, ADA Compliant &#8211; Stainless Steel",829.99,619.99,Sears
Frigidaire,"Frigidaire FFTR1425VW  13.9 cu. ft. Top Freezer Refrigerator with EvenTemp&#8482;, ADA Compliant &#8211; White",729.99,589.99,Sears
Frigidaire,Frigidaire FFTR1835VB  18.3 cu. ft. Top Freezer Refrigerator &#8211; Black,849.99,649.99,Sears
LG,LG LRMDC2306S  22.5 cu. ft. Counter Depth 4-Door Refrigerator w/ Door-in-Door&#174; & Craft Ice&#8482; &#8211; Stainless Steel,3599.99,2899.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRFC2353AD  22.6 cu. ft. Counter-Depth French Door Refrigerator &#8211; Smudge-Proof&#174; Black Stainless Steel,3399.99,2149.99,Sears
Haier,Haier HRB15N3BGS 15 cu. ft. Bottom-Freezer Refrigerator - Stainless Steel,1399.99,1259.96,Sears
LG,LG LRSOS2706D  27.1 cu. ft. Side-by-Side InstaView&#174; Refrigerator with Craft Ice&#8482; &#8211; PrintProof&#8482; Black Stainless Steel,2199.99,1699.99,Sears
GE Profile Series,GE Profile Series PYE22KBLTS ENERGY STAR&#174; 22.2 cu. ft. Counter-Depth French Door Refrigerator - Black Stainless Steel,3799.99,3419.99,Sears
GE Appliances,GE Appliances GZS22IYNFS 21.8 cu. ft. Side-By-Side Refrigerator - Stainless Steel,,2099.99,Sears
Kenmore,Kenmore 61205  21 cu. ft. Top-Freezer Refrigerator - Stainless Steel,1199.99,929.99,Sears
GE Appliances,GE Appliances GSS23GGPBB 23.0 Cu. Ft. Side-By-Side Refrigerator - Black,,1699.99,Sears
LG,LG LRSOC2306D  23.0 cu. ft. Counter Depth Side-by-Side InstaView&#174; Refrigerator with Craft Ice&#8482; &#8211; Black Stainless Steel,,2443.99,Sears
Samsung,Samsung RF22A4121SR/AA 22 cu. ft. Smart 3-Door French Door Refrigerator in Stainless Steel,1799.00,1499.00,Bluelight
Frigidaire,Frigidaire FRSS2323AB 22.3 cu. ft. 33-Inch-Wide Side-by-Side Refrigerator &#8211; Black,1399.99,1259.99,Sears
GE Appliances,GE Appliances GNE27JMMES 27 cu. ft. French Door Refrigerator - Slate,2399.99,2159.96,Sears
GE Appliances,GE Appliances GNE27JGMWW 27 cu. ft. French Door Refrigerator - White,2299.99,2069.96,Sears
Samsung,"Samsung RF28T5001SR/AA 36"" 28 cu.ft. Stainless Steel  French Door Refrigerator",2199.99,1979.96,Sears
LG,LG LBNC15231V 14.7 cu. ft. Bottom Freezer Refrigerator &#8211; Platinum Silver,,1299.99,Sears
Kenmore,"Kenmore 71335  20.4 cu. ft. Top Freezer Refrigerator w/ Icemaker, 33"" Wide &#8211; Stainless Steel w/Fingerprint Resistance",1399.99,1149.99,Sears
GE Appliances,GE Appliances GWE19JGLWW ENERGY STAR&#174; 18.6 Cu. Ft. Counter-Depth French-Door Refrigerator-White,1999.99,1799.96,Sears
